"","TaskPit","ブラウザ","メール","プログラミング","ワード","プレゼン編集","エクセル","ファイル操作","登録外"
"2013年02月04日09時55分","0","58","2","0","0","0","24","136","0"
"2013年02月04日10時00分","0","57","48","0","0","0","0","19","170"
"2013年02月04日10時05分","0","66","2","0","0","0","120","61","47"
"2013年02月04日10時10分","0","0","80","0","0","0","33","5","178"
"2013年02月04日10時15分","0","43","0","0","0","0","14","51","188"
"2013年02月04日10時20分","0","118","0","0","0","0","0","0","91"
"2013年02月04日10時25分","0","0","0","0","0","0","0","0","296"
"2013年02月04日10時30分","0","0","0","0","0","0","0","0","231"
"2013年02月04日10時35分","0","0","14","0","0","0","0","9","232"
"2013年02月04日10時40分","0","0","0","0","0","0","0","20","276"
"2013年02月04日10時45分","0","108","0","0","0","0","0","19","169"
"2013年02月04日10時50分","0","81","0","0","0","0","149","4","62"
"2013年02月04日10時55分","0","16","0","0","0","0","18","5","258"
"2013年02月04日11時00分","0","0","0","0","0","0","100","0","197"
"2013年02月04日11時05分","0","126","0","0","0","0","48","0","122"
"2013年02月04日11時10分","0","108","0","0","0","0","172","9","2"
"2013年02月04日11時15分","0","242","0","0","0","0","24","0","31"
"2013年02月04日11時20分","0","3","48","0","0","0","25","108","108"
"2013年02月04日11時25分","0","0","0","0","0","0","244","0","54"
"2013年02月04日11時30分","0","72","6","0","0","0","163","32","22"
"2013年02月04日11時35分","0","83","0","0","0","0","122","0","47"
"2013年02月04日11時40分","0","0","0","0","0","0","147","17","130"
"2013年02月04日11時45分","0","0","0","0","0","0","44","168","84"
"2013年02月04日11時50分","0","60","0","0","0","0","0","0","237"
"2013年02月04日11時55分","0","30","0","0","0","0","113","0","27"
"2013年02月04日12時00分","0","56","0","0","0","0","91","0","150"
"2013年02月04日12時05分","0","47","18","0","0","0","38","151","39"
"2013年02月04日12時10分","0","46","0","0","0","0","32","0","40"
"2013年02月04日12時15分","0","0","0","0","0","0","26","87","93"
"2013年02月04日12時20分","0","29","0","0","0","0","147","0","118"
"2013年02月04日12時25分","0","65","0","0","0","0","73","16","91"
"2013年02月04日12時30分","0","140","84","0","0","0","31","5","36"
"2013年02月04日12時35分","0","0","2","0","0","0","46","0","245"
"2013年02月04日12時40分","0","0","0","0","0","0","0","0","298"
"2013年02月04日12時45分","0","0","0","0","0","0","0","0","204"
"2013年02月04日12時50分","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時55分","0","0","0","0","0","0","0","0","0"
"2013年02月04日13時00分","0","0","0","0","0","0","0","0","0"
"2013年02月04日13時05分","0","0","0","0","0","0","0","0","0"
"2013年02月04日13時10分","0","0","0","0","0","0","0","0","0"
"2013年02月04日13時40分","0","81","11","0","0","0","40","28","15"
"2013年02月04日13時45分","0","95","0","0","0","0","60","26","107"
"2013年02月04日13時50分","0","48","0","0","0","0","137","15","93"
"2013年02月04日13時55分","0","0","0","0","0","0","0","0","294"
"2013年02月04日14時00分","0","0","57","0","0","0","0","0","239"
"2013年02月04日14時05分","0","0","0","0","0","0","0","1","262"
"2013年02月04日14時10分","0","0","0","0","0","0","0","0","299"
"2013年02月04日14時15分","0","0","0","0","0","0","0","0","298"
"2013年02月04日14時20分","0","0","4","0","0","0","0","0","292"
"2013年02月04日14時25分","0","1","0","0","0","0","0","46","248"
"2013年02月04日14時30分","0","18","0","0","0","0","34","45","200"
"2013年02月04日14時35分","0","0","0","0","0","0","271","22","0"
"2013年02月04日14時40分","0","82","0","0","0","0","91","6","115"
"2013年02月04日14時45分","0","0","0","0","0","0","102","16","177"
"2013年02月04日14時50分","0","5","41","0","0","0","5","44","117"
"2013年02月04日14時55分","0","1","0","0","0","0","0","0","0"
"2013年02月04日15時00分","0","100","0","0","0","0","62","6","128"
"2013年02月04日15時05分","0","29","0","0","0","0","120","10","128"
"2013年02月04日15時10分","0","0","0","0","0","0","94","8","131"
"2013年02月04日15時15分","0","0","4","0","0","0","48","11","233"
"2013年02月04日15時20分","0","0","0","0","0","0","118","0","83"
"2013年02月04日15時25分","0","0","0","0","0","0","52","16","224"
"2013年02月04日15時30分","0","0","2","0","0","0","189","7","96"
"2013年02月04日15時35分","0","0","0","0","0","0","41","0","254"
"2013年02月04日15時40分","0","0","0","0","0","0","62","0","234"
"2013年02月04日15時45分","0","0","0","0","0","0","109","0","186"
"2013年02月04日15時50分","0","0","0","0","0","0","46","0","249"
"2013年02月04日15時55分","0","0","0","0","0","0","37","8","251"
"2013年02月04日16時00分","0","0","0","0","0","0","0","0","295"
"2013年02月04日16時05分","0","0","0","0","0","0","50","0","244"
"2013年02月04日16時10分","0","0","0","0","0","0","34","0","54"
"2013年02月04日16時15分","0","0","0","0","0","0","0","0","223"
"2013年02月04日16時20分","0","0","0","0","0","0","10","120","159"
"2013年02月04日16時25分","0","0","0","0","0","0","54","11","23"
"2013年02月04日16時30分","0","0","0","0","0","0","83","5","206"
"2013年02月04日16時35分","0","0","0","0","0","0","52","12","232"
"2013年02月04日16時40分","0","30","8","0","0","0","152","20","85"
"2013年02月04日16時45分","0","45","0","0","0","0","74","48","129"
"2013年02月04日16時50分","0","1","0","0","0","0","53","9","233"
"2013年02月04日16時55分","0","0","0","0","0","0","0","0","294"
"2013年02月04日17時00分","0","0","0","0","0","0","24","0","207"
"2013年02月04日17時05分","0","0","0","0","0","0","27","9","205"
"2013年02月04日17時10分","0","0","0","0","0","0","102","12","165"
"2013年02月04日17時15分","0","0","0","0","0","0","285","1","10"
"2013年02月04日17時20分","0","0","10","0","0","0","34","87","151"
"2013年02月04日17時25分","0","0","0","0","0","0","58","0","237"
"2013年02月04日17時30分","0","0","0","0","0","0","158","14","54"
"2013年02月04日17時35分","0","132","12","0","0","0","70","26","56"
"2013年02月04日17時40分","0","75","16","0","0","0","4","2","196"
"2013年02月04日17時45分","0","0","0","0","0","0","108","0","187"
"2013年02月04日17時50分","0","0","0","0","0","0","22","6","268"
"2013年02月04日17時55分","0","0","0","0","0","0","147","3","144"
"2013年02月04日18時00分","0","0","0","0","0","0","67","0","223"
"2013年02月04日18時05分","0","0","0","0","0","0","37","1","255"
"2013年02月04日18時10分","0","0","0","0","0","0","74","0","117"
"2013年02月04日18時15分","0","0","0","0","0","0","0","0","296"
"2013年02月04日18時20分","0","0","0","0","0","0","0","10","287"
"2013年02月04日18時25分","0","0","0","0","0","0","0","15","282"
"2013年02月04日18時30分","0","0","0","0","0","0","0","0","297"
"2013年02月04日18時35分","0","0","0","0","0","0","19","3","272"
"2013年02月04日18時40分","0","0","0","0","0","0","15","1","281"
"2013年02月04日18時45分","0","0","0","0","0","0","0","0","296"
"2013年02月04日18時50分","0","0","0","0","0","0","0","0","298"
"2013年02月04日18時55分","0","0","0","0","0","0","0","106","184"
"2013年02月04日19時00分","0","41","15","0","0","0","138","102","0"
"2013年02月04日19時05分","0","25","0","0","0","0","85","20","166"
"2013年02月04日19時10分","0","157","0","0","0","0","106","19","16"
"2013年02月04日19時15分","26","106","17","0","0","0","2","50","91"
"2013年02月05日09時00分","0","258","118","0","0","0","0","14","0"
"2013年02月05日09時05分","0","61","193","0","0","0","0","1","0"
"2013年02月05日09時10分","0","216","3","0","0","0","0","1","77"
"2013年02月05日09時15分","0","11","5","0","0","0","8","17","250"
"2013年02月05日09時20分","0","106","0","0","0","0","161","4","25"
"2013年02月05日09時25分","0","179","0","0","0","0","72","0","45"
"2013年02月05日09時30分","0","0","0","0","0","0","72","0","224"
"2013年02月05日09時35分","0","154","39","0","0","0","15","13","72"
"2013年02月05日09時40分","0","0","0","0","0","0","0","0","298"
"2013年02月05日09時45分","0","0","0","0","0","0","0","1","292"
"2013年02月05日09時50分","0","0","0","0","0","0","0","0","297"
"2013年02月05日09時55分","0","0","26","0","0","0","0","5","265"
"2013年02月05日10時00分","0","0","0","0","0","0","0","5","291"
"2013年02月05日10時05分","0","0","0","0","0","0","0","3","289"
"2013年02月05日10時10分","0","0","0","0","0","0","0","0","297"
"2013年02月05日10時15分","0","0","5","0","0","0","0","66","225"
"2013年02月05日10時20分","0","0","0","0","0","0","0","21","275"
"2013年02月05日10時25分","0","28","0","0","0","0","0","1","267"
"2013年02月05日10時30分","0","0","0","0","0","0","0","17","279"
"2013年02月05日10時35分","0","0","0","0","0","0","0","1","295"
"2013年02月05日10時40分","0","0","0","0","0","0","0","1","295"
"2013年02月05日10時45分","0","0","0","0","0","0","0","1","295"
"2013年02月05日10時50分","0","0","0","0","0","0","0","2","295"
"2013年02月05日10時55分","0","0","0","0","0","0","0","2","294"
"2013年02月05日11時00分","0","0","0","0","0","0","0","0","297"
"2013年02月05日11時05分","0","0","16","0","0","0","0","4","276"
"2013年02月05日11時10分","0","0","0","0","0","0","0","20","275"
"2013年02月05日11時15分","0","0","0","0","0","0","0","2","293"
"2013年02月05日11時20分","0","9","0","0","0","0","0","0","287"
