"","TaskPit - 左クリック","ブラウザ - 左クリック","メール - 左クリック","プログラミング - 左クリック","ワード - 左クリック","プレゼン編集 - 左クリック","エクセル - 左クリック","ファイル操作 - 左クリック","登録外 - 左クリック"
"2013年02月04日09時55分","0","0","0","0","0","0","0","1","0"
"2013年02月04日10時00分","0","0","0","0","0","0","0","0","0"
"2013年02月04日10時05分","0","0","0","0","0","0","0","0","0"
"2013年02月04日10時10分","0","0","0","0","0","0","0","0","0"
"2013年02月04日10時15分","0","0","0","0","0","0","0","0","0"
"2013年02月04日10時20分","0","0","0","0","0","0","0","0","0"
"2013年02月04日10時25分","0","0","0","0","0","0","0","0","0"
"2013年02月04日10時30分","0","0","0","0","0","0","0","0","0"
"2013年02月04日10時35分","0","0","0","0","0","0","0","0","0"
"2013年02月04日10時40分","0","0","0","0","0","0","0","0","0"
"2013年02月04日10時45分","0","0","0","0","0","0","0","0","0"
"2013年02月04日10時50分","0","0","0","0","0","0","0","0","0"
"2013年02月04日10時55分","0","0","0","0","0","0","0","0","0"
"2013年02月04日11時00分","0","0","0","0","0","0","0","0","0"
"2013年02月04日11時05分","0","0","0","0","0","0","0","0","0"
"2013年02月04日11時10分","0","0","0","0","0","0","0","0","0"
"2013年02月04日11時15分","0","0","0","0","0","0","0","0","0"
"2013年02月04日11時20分","0","0","0","0","0","0","0","0","0"
"2013年02月04日11時25分","0","0","0","0","0","0","0","0","0"
"2013年02月04日11時30分","0","0","0","0","0","0","0","0","0"
"2013年02月04日11時35分","0","0","0","0","0","0","0","0","0"
"2013年02月04日11時40分","0","0","0","0","0","0","0","0","0"
"2013年02月04日11時45分","0","0","0","0","0","0","0","0","0"
"2013年02月04日11時50分","0","0","0","0","0","0","0","0","0"
"2013年02月04日11時55分","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時00分","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時05分","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時10分","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時15分","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時20分","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時25分","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時30分","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時35分","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時40分","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時45分","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時50分","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時55分","0","0","0","0","0","0","0","0","0"
"2013年02月04日13時00分","0","0","0","0","0","0","0","0","0"
"2013年02月04日13時05分","0","0","0","0","0","0","0","0","0"
"2013年02月04日13時10分","0","0","0","0","0","0","0","0","0"
"2013年02月04日13時40分","0","0","0","0","0","0","0","0","0"
"2013年02月04日13時45分","0","0","0","0","0","0","0","0","0"
"2013年02月04日13時50分","0","0","0","0","0","0","0","0","0"
"2013年02月04日13時55分","0","0","0","0","0","0","0","0","0"
"2013年02月04日14時00分","0","0","0","0","0","0","0","0","0"
"2013年02月04日14時05分","0","0","0","0","0","0","0","0","0"
"2013年02月04日14時10分","0","0","0","0","0","0","0","0","0"
"2013年02月04日14時15分","0","0","0","0","0","0","0","0","0"
"2013年02月04日14時20分","0","0","0","0","0","0","0","0","0"
"2013年02月04日14時25分","0","0","0","0","0","0","0","0","0"
"2013年02月04日14時30分","0","0","0","0","0","0","0","0","0"
"2013年02月04日14時35分","0","0","0","0","0","0","0","0","0"
"2013年02月04日14時40分","0","0","0","0","0","0","0","0","0"
"2013年02月04日14時45分","0","0","0","0","0","0","0","0","0"
"2013年02月04日14時50分","0","0","0","0","0","0","0","0","0"
"2013年02月04日14時55分","0","0","0","0","0","0","0","0","0"
"2013年02月04日15時00分","0","0","0","0","0","0","0","0","0"
"2013年02月04日15時05分","0","0","0","0","0","0","0","0","0"
"2013年02月04日15時10分","0","0","0","0","0","0","0","0","0"
"2013年02月04日15時15分","0","0","0","0","0","0","0","0","0"
"2013年02月04日15時20分","0","0","0","0","0","0","0","0","0"
"2013年02月04日15時25分","0","0","0","0","0","0","0","0","0"
"2013年02月04日15時30分","0","0","0","0","0","0","0","0","0"
"2013年02月04日15時35分","0","0","0","0","0","0","0","0","0"
"2013年02月04日15時40分","0","0","0","0","0","0","0","0","0"
"2013年02月04日15時45分","0","0","0","0","0","0","0","0","0"
"2013年02月04日15時50分","0","0","0","0","0","0","0","0","0"
"2013年02月04日15時55分","0","0","0","0","0","0","0","0","0"
"2013年02月04日16時00分","0","0","0","0","0","0","0","0","0"
"2013年02月04日16時05分","0","0","0","0","0","0","0","0","0"
"2013年02月04日16時10分","0","0","0","0","0","0","0","0","0"
"2013年02月04日16時15分","0","0","0","0","0","0","0","0","0"
"2013年02月04日16時20分","0","0","0","0","0","0","0","0","0"
"2013年02月04日16時25分","0","0","0","0","0","0","0","0","0"
"2013年02月04日16時30分","0","0","0","0","0","0","0","0","0"
"2013年02月04日16時35分","0","0","0","0","0","0","0","0","0"
"2013年02月04日16時40分","0","0","0","0","0","0","0","0","0"
"2013年02月04日16時45分","0","0","0","0","0","0","0","0","0"
"2013年02月04日16時50分","0","0","0","0","0","0","0","0","0"
"2013年02月04日16時55分","0","0","0","0","0","0","0","0","0"
"2013年02月04日17時00分","0","0","0","0","0","0","0","0","0"
"2013年02月04日17時05分","0","0","0","0","0","0","0","0","0"
"2013年02月04日17時10分","0","0","0","0","0","0","0","0","0"
"2013年02月04日17時15分","0","0","0","0","0","0","0","0","0"
"2013年02月04日17時20分","0","0","0","0","0","0","0","0","0"
"2013年02月04日17時25分","0","0","0","0","0","0","0","0","0"
"2013年02月04日17時30分","0","0","0","0","0","0","0","0","0"
"2013年02月04日17時35分","0","0","0","0","0","0","0","0","0"
"2013年02月04日17時40分","0","0","0","0","0","0","0","0","0"
"2013年02月04日17時45分","0","0","0","0","0","0","0","0","0"
"2013年02月04日17時50分","0","0","0","0","0","0","0","0","0"
"2013年02月04日17時55分","0","0","0","0","0","0","0","0","0"
"2013年02月04日18時00分","0","0","0","0","0","0","0","0","0"
"2013年02月04日18時05分","0","0","0","0","0","0","0","0","0"
"2013年02月04日18時10分","0","0","0","0","0","0","0","0","0"
"2013年02月04日18時15分","0","0","0","0","0","0","0","0","0"
"2013年02月04日18時20分","0","0","0","0","0","0","0","0","0"
"2013年02月04日18時25分","0","0","0","0","0","0","0","0","0"
"2013年02月04日18時30分","0","0","0","0","0","0","0","0","0"
"2013年02月04日18時35分","0","0","0","0","0","0","0","0","0"
"2013年02月04日18時40分","0","0","0","0","0","0","0","0","0"
"2013年02月04日18時45分","0","0","0","0","0","0","0","0","0"
"2013年02月04日18時50分","0","0","0","0","0","0","0","0","0"
"2013年02月04日18時55分","0","0","0","0","0","0","0","0","0"
"2013年02月04日19時00分","0","0","0","0","0","0","0","0","0"
"2013年02月04日19時05分","0","0","0","0","0","0","0","0","0"
"2013年02月04日19時10分","0","0","0","0","0","0","0","0","0"
"2013年02月04日19時15分","0","0","0","0","0","0","0","0","0"
"2013年02月05日09時00分","0","19","32","0","0","0","0","0","0"
"2013年02月05日09時05分","0","13","7","0","0","0","0","1","0"
"2013年02月05日09時10分","0","17","2","0","0","0","0","0","22"
"2013年02月05日09時15分","0","3","2","0","0","0","2","5","66"
"2013年02月05日09時20分","0","24","0","0","0","0","27","2","5"
"2013年02月05日09時25分","0","23","0","0","0","0","6","0","9"
"2013年02月05日09時30分","0","0","0","0","0","0","2","0","70"
"2013年02月05日09時35分","0","50","23","0","0","0","11","12","22"
"2013年02月05日09時40分","0","0","0","0","0","0","0","0","75"
"2013年02月05日09時45分","0","0","0","0","0","0","0","1","93"
"2013年02月05日09時50分","0","0","0","0","0","0","0","0","81"
"2013年02月05日09時55分","0","0","8","0","0","0","0","1","70"
"2013年02月05日10時00分","0","0","0","0","0","0","0","3","67"
"2013年02月05日10時05分","0","0","0","0","0","0","0","1","86"
"2013年02月05日10時10分","0","0","0","0","0","0","0","0","49"
"2013年02月05日10時15分","0","0","1","0","0","0","0","12","85"
"2013年02月05日10時20分","0","0","0","0","0","0","0","6","91"
"2013年02月05日10時25分","0","7","0","0","0","0","0","0","42"
"2013年02月05日10時30分","0","0","0","0","0","0","0","9","46"
"2013年02月05日10時35分","0","0","0","0","0","0","0","0","72"
"2013年02月05日10時40分","0","0","0","0","0","0","0","1","58"
"2013年02月05日10時45分","0","0","0","0","0","0","0","1","64"
"2013年02月05日10時50分","0","0","0","0","0","0","0","1","72"
"2013年02月05日10時55分","0","0","0","0","0","0","0","2","106"
"2013年02月05日11時00分","0","0","0","0","0","0","0","0","46"
"2013年02月05日11時05分","0","0","4","0","0","0","0","2","11"
"2013年02月05日11時10分","0","0","0","0","0","0","0","19","84"
"2013年02月05日11時15分","0","0","0","0","0","0","0","1","71"
"2013年02月05日11時20分","0","2","0","0","0","0","0","0","33"
