"","TaskPit - 打鍵回数","ブラウザ - 打鍵回数","メール - 打鍵回数","プログラミング - 打鍵回数","ワード - 打鍵回数","プレゼン編集 - 打鍵回数","エクセル - 打鍵回数","ファイル操作 - 打鍵回数","文書閲覧 - 打鍵回数","調査 - 打鍵回数","SQLサーバ - 打鍵回数","テスト - 打鍵回数","プログラミング・デバッグ - 打鍵回数","登録外 - 打鍵回数"
"2013年02月04日10時45分","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"2013年02月04日10時50分","0","8","0","0","0","0","2","0","0","0","0","0","0","0"
"2013年02月04日10時55分","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日11時00分","0","0","0","0","0","0","266","0","0","0","0","0","0","0"
"2013年02月04日11時05分","0","0","0","0","0","0","158","0","0","0","0","0","0","0"
"2013年02月04日11時10分","0","0","0","0","0","0","68","0","0","0","0","0","0","0"
"2013年02月04日11時15分","0","0","1","0","0","0","0","0","0","0","0","0","0","3"
"2013年02月04日11時20分","0","0","0","0","0","0","0","0","0","0","0","0","0","54"
"2013年02月04日11時25分","0","0","1","0","0","0","29","0","0","0","0","0","0","46"
"2013年02月04日11時30分","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"2013年02月04日11時35分","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日11時40分","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"2013年02月04日11時45分","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"2013年02月04日11時50分","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"2013年02月04日11時55分","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"2013年02月04日12時00分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時05分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時10分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時15分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時20分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時25分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時30分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時35分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時40分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時45分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時50分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日12時55分","0","0","5","0","0","0","0","0","0","0","0","0","0","11"
"2013年02月04日13時00分","0","0","9","0","0","0","0","0","0","49","0","0","0","22"
"2013年02月04日13時05分","0","0","0","0","0","0","0","0","0","2","0","0","0","2"
"2013年02月04日13時10分","0","137","0","0","0","0","160","0","0","0","0","0","0","0"
"2013年02月04日13時15分","0","0","0","0","0","0","410","0","0","0","0","0","0","0"
"2013年02月04日13時20分","0","35","0","0","0","0","278","0","0","0","0","0","0","0"
"2013年02月04日13時25分","0","118","1","0","0","0","54","16","0","0","0","14","0","0"
"2013年02月04日13時30分","0","24","2","0","0","0","15","0","0","0","0","0","0","7"
"2013年02月04日13時35分","0","37","0","0","0","0","2","16","0","0","0","0","0","0"
"2013年02月04日13時40分","0","0","0","0","0","0","2","9","0","0","0","0","0","0"
"2013年02月04日13時45分","0","0","0","0","0","0","2","24","0","0","0","0","0","4"
"2013年02月04日13時50分","0","0","2","0","0","0","0","0","0","0","0","0","0","4"
"2013年02月04日13時55分","0","0","0","0","0","0","14","14","0","0","0","50","0","5"
"2013年02月04日14時00分","0","0","0","0","0","0","0","0","0","0","0","35","0","0"
"2013年02月04日14時05分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日14時10分","0","0","0","0","0","0","0","0","0","0","0","14","0","0"
"2013年02月04日14時15分","0","0","0","0","0","0","0","0","0","0","0","46","0","0"
"2013年02月04日14時20分","0","0","0","0","0","0","1","15","0","0","0","2","0","0"
"2013年02月04日14時25分","0","2","0","0","0","0","28","1","0","0","0","3","0","0"
"2013年02月04日14時30分","0","0","0","0","0","0","208","0","0","0","0","0","0","0"
"2013年02月04日14時35分","0","0","0","0","0","0","107","0","0","14","0","0","0","0"
"2013年02月04日14時40分","0","0","0","0","0","0","86","14","0","0","0","0","0","0"
"2013年02月04日14時45分","0","0","0","0","0","0","116","21","0","0","0","0","0","0"
"2013年02月04日14時50分","0","0","0","0","0","0","18","0","0","0","0","0","0","0"
"2013年02月04日14時55分","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"2013年02月04日15時00分","0","0","0","0","0","0","9","0","0","0","0","3","0","1"
"2013年02月04日15時05分","0","0","0","0","0","0","6","0","0","0","0","8","0","0"
"2013年02月04日15時10分","0","0","0","0","0","0","9","0","0","0","0","5","0","0"
"2013年02月04日15時15分","0","0","0","0","0","0","53","0","0","0","0","13","0","0"
"2013年02月04日15時20分","0","0","2","0","0","0","12","0","0","0","0","0","0","2"
"2013年02月04日15時25分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日15時30分","0","0","0","0","0","0","62","0","0","0","0","0","0","0"
"2013年02月04日15時35分","0","0","0","0","0","0","55","4","0","0","0","69","0","15"
"2013年02月04日15時40分","0","0","0","0","0","0","81","0","0","0","0","30","0","0"
"2013年02月04日15時45分","0","0","4","0","0","0","14","16","0","0","0","0","0","0"
"2013年02月04日15時50分","0","0","0","0","0","0","70","0","0","0","0","109","0","0"
"2013年02月04日15時55分","0","0","2","0","0","0","79","16","0","0","0","67","0","0"
"2013年02月04日16時00分","0","0","0","0","0","0","23","0","0","0","0","0","0","3"
"2013年02月04日16時05分","0","0","0","0","0","0","275","0","0","5","0","0","0","0"
"2013年02月04日16時10分","0","5","0","0","0","11","272","0","0","0","0","0","0","0"
"2013年02月04日16時15分","0","0","0","0","0","7","184","0","0","0","0","0","0","0"
"2013年02月04日16時20分","0","0","219","0","0","0","162","0","0","0","0","0","0","0"
"2013年02月04日16時25分","0","0","0","0","0","0","3","0","0","0","0","0","0","0"
"2013年02月04日16時30分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日16時35分","0","115","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日16時40分","0","97","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日16時45分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日16時50分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日16時55分","0","0","0","0","0","0","0","57","0","0","0","2","0","0"
"2013年02月04日17時00分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日17時05分","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日17時10分","0","39","0","0","0","0","13","10","0","0","0","0","0","0"
"2013年02月04日17時15分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日17時20分","0","0","7","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日17時25分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日17時30分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日17時35分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日17時40分","0","0","0","0","0","0","0","5","0","0","0","0","0","0"
"2013年02月04日17時45分","0","0","0","0","0","0","44","0","0","0","0","41","0","0"
"2013年02月04日17時50分","0","0","0","0","0","0","12","32","0","0","0","104","0","0"
"2013年02月04日17時55分","0","0","0","0","0","0","0","15","0","0","0","45","0","0"
"2013年02月04日18時00分","0","0","0","0","0","0","0","0","0","0","0","25","0","0"
"2013年02月04日18時05分","0","0","0","0","0","0","0","106","0","0","0","0","0","0"
"2013年02月04日18時10分","0","0","0","0","0","0","370","19","0","0","0","0","0","0"
"2013年02月04日18時15分","0","0","0","0","0","0","36","15","0","0","0","0","0","0"
"2013年02月04日18時20分","0","0","0","0","0","0","0","22","0","0","0","0","0","0"
"2013年02月04日18時25分","0","13","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月04日18時30分","0","98","0","0","0","0","0","0","0","0","0","0","0","2"
"2013年02月04日18時35分","0","25","0","0","0","0","0","0","0","0","0","0","0","43"
"2013年02月04日18時40分","0","2","0","0","0","0","0","14","0","0","0","0","0","31"
"2013年02月04日18時45分","0","0","0","0","0","0","0","1","0","270","0","0","0","0"
"2013年02月04日18時50分","0","25","0","0","0","0","0","66","0","150","0","0","0","0"
"2013年02月04日18時55分","0","0","0","0","0","0","0","0","0","232","0","0","0","0"
"2013年02月04日19時00分","0","0","0","0","0","0","0","0","0","176","0","0","0","0"
"2013年02月04日19時05分","0","0","0","0","0","0","2","3","0","140","0","0","0","3"
"2013年02月04日19時10分","0","7","0","0","0","0","9","1","0","253","0","0","0","20"
"2013年02月04日19時15分","0","207","0","0","0","0","47","14","0","0","0","0","0","0"
"2013年02月05日09時10分","0","0","0","0","0","0","0","33","0","0","0","0","0","9"
"2013年02月05日09時15分","0","0","0","0","0","0","0","32","0","0","0","0","0","11"
"2013年02月05日09時20分","0","0","0","0","0","0","0","2","0","0","0","0","0","1"
"2013年02月05日09時25分","0","0","0","0","0","0","57","14","0","0","0","0","0","0"
"2013年02月05日09時30分","0","0","0","0","0","0","227","0","0","0","0","0","0","0"
"2013年02月05日09時35分","0","0","0","0","0","0","3","0","0","0","0","49","0","18"
"2013年02月05日09時40分","1","0","0","0","0","0","0","29","0","0","0","0","0","0"
"2013年02月05日09時45分","0","0","0","0","0","0","4","0","0","0","0","0","0","13"
"2013年02月05日09時50分","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"2013年02月05日09時55分","0","0","0","0","0","0","0","0","0","0","0","3","0","2"
"2013年02月05日10時00分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日10時05分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日10時10分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日10時15分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日10時20分","0","3","0","0","0","0","5","0","0","0","0","1","0","0"
"2013年02月05日10時25分","0","0","0","0","0","0","1","0","0","0","0","0","0","10"
"2013年02月05日10時30分","0","0","0","0","0","0","11","0","0","0","0","72","0","14"
"2013年02月05日10時35分","0","0","0","0","0","0","0","0","0","0","0","30","0","4"
"2013年02月05日10時40分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日10時45分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日10時50分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日10時55分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日11時00分","0","0","0","0","0","0","0","0","0","0","0","19","0","0"
"2013年02月05日11時05分","0","0","0","0","0","0","0","0","0","0","0","8","0","0"
"2013年02月05日11時10分","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日11時15分","0","0","2","0","0","0","0","3","0","0","0","0","0","4"
